Title,Authors,Year,Journal,DOI,Abstract,LLM
"The N2-, O2-, and air-broadened halfwidths and line mixing parameters of the N2O molecule and their temperature dependences","Q. Ma, C. Boulet",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109628,,Relevant: fallback empty
"The j and k dependencies of N2-, O2-, and air-broadened halfwidths of the CH3CN molecule","Q. Ma, C. Boulet",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2024.109265,,Relevant: fallback empty
Water vapor line broadening and shift coefficients induced by carbon dioxide in the 8600–9000 cm-1 spectral region,"T.M. Petrova, A.M. Solodov, A.A. Solodov, V.M. Deichuli, N.N. Lavrentieva, A.S. Dudaryonok",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109577,,Relevant: fallback empty
Measurements of H2O-N2 line shape parameters and the determination of the intermolecular potential for complex Robert-Bonamy-Ma calculations,"Robert R. Gamache, Keeyoon Sung, Bastien Vispoel, Nicholas G. Orphanos, Geoffrey C. Toon",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109570,,Relevant: fallback empty
Assembly fluorescent probe-based detection of gamma-glutamyl transferase activity in tumor,"Weiwang Zheng, Jing Wu, Nannan Song, Baonan Zhang, Chunhui Jin, Weibo Zhao, Kai Wang, Shenghua Wang, Xiaodan Zhu, Cui Sun",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126381,,Relevant: fallback empty
"Simulated Raman libraries of gaseous CO, H2, N2, O2, CO2, and H2O for high-temperature diagnostics","Johannes Lill, Andreas Dreizler, Dirk Geyer",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109449,,Relevant: fallback empty
"A large Stokes shift peptide-based fluorescent probe for Cd2+ and Hg2+ detection in aqueous solution and its applications in bioimaging, real sample, logic gate and smartphone device","Chunmei Pu, Shiyang Li, Xinlin Cao, Jun Chen, Peng Wang, Jiang Wu",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126599,,Relevant: fallback empty
Construction of a mitochondria-targeted NIR probe with large Stokes shift for real-time monitoring viscosity changes during ferroptosis,"Yongfei Huang, Zifan Gao, Zhefeng Fan",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126488,,Relevant: fallback empty
"Low-temperature and pressure-induced conformational change in Tutton salt K2Ni(H2O)6(SO4)2: Structural, vibrational and magnetic properties combined with DFT calculations","Raí F. Jucá, Tiago S. Pacheco, João G. de Oliveira Neto, Luiz F.L. da Silva, José A.S. da Silva, J. Alves de Lima, Paulo de Tarso C. Freire, Santunu Ghosh, Edinei C. Paiva, João M. Soares, Gilberto D. Saraiva",2025,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2025.126486,,Relevant: fallback empty
Shift of the linear polarization angle of light scattered by anisotropic aerosol and hydrosol particles,"Ynon Hefets, Carynelisa Haspel",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109593,,Relevant: fallback empty
Theoretical and experimental electron collisions broadening parameters for several Sc II spectral lines of industrial and astrophysical interest,"Lucía Isidoro-García, Isabel de Andrés-García, Juan Porro, Francisco Fernández, Cristóbal Colón",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109587,,Relevant: fallback empty
Experimental and theoretical investigation on N2 pressure-induced coefficients of the lowest rotational transitions of HCN,"Francesca Tonolo, Hubert J. Jóźwiak, Luca Bizzocchi, Mattia Melosso, Piotr Wcisło, François Lique, Cristina Puzzarini",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109521,,Relevant: Investigates N2 pressure-induced coefficients of HCN rotational transitions
Measurements and calculations of H2O broadened by CO2 collisional parameters for planetary atmospheres,"É. Ducreux, B. Vispoel, B. Grouiez, R.R. Gamache, M. Lepère, S. Robert, L. Régalia",2025,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2025.109576,,Relevant: Measures H2O broadening by CO2 collisional parameters for planetary atmospheres
Collisional broadening and pressure shift coefficients for the potassium D1 and D2 transitions in oxygen and carbon dioxide at high temperatures,"Joshua A. Vandervort, Konstantinos Kotsarinis, Spencer C. Barnes, Christopher L. Strand, Ronald K. Hanson",2024,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2024.109152,,Relevant: fallback empty
"Quantum calculation of the pressure broadening of
            <i>H</i>
            and
            <i>K</i>
            lines of Ca
            <sup>+</sup>
            calcium ion in a gaz of ground-state He helium atoms","Ouissal Smida, Louardi Yandjah, Kamel Alioua",2024,Molecular Physics,10.1080/00268976.2024.2345740,,Relevant: fallback empty
"Broadening of He 1083nm, 388.8 nm, 501.6 nm, 587.5 nm, 667.8 nm, 706.5 nm, 728.1 nm lines and of H(α), H(β) and O 777 nm lines in atmospheric pressure helium",Nader Sadeghi,2024,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/j.jqsrt.2023.108868,,Relevant: fallback empty
"Pressure broadening in Raman spectra of CH4–N2, CH4–CO2, and CH4–C2H6 gas mixtures","Aleksandr S. Tanichev, Dmitry V. Petrov",2023,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2023.122396,,Relevant: fallback empty
