Title,Authors,Year,Journal,DOI,Source
Total Measurement Uncertainty for the Plutonium Finishing Plant (PFP) Segmented Gamma Scan Assay System,D M FAZZARI,2001,,10.2172/805999,CrossRef
Total Measurement Uncertainty for the Plutonium Finishing Plant (PFP) Segmented Gamma Scan Assay System,G A WESTSIK,2001,,10.2172/807148,CrossRef
Interesting study on the pressure broadening effects of N2/O2/Ar composition in standard gases.,Jooil Kim,2017,,10.5194/amt-2017-54-rc1,CrossRef
Broadening Our View of Risk,"José Silveira, Patricia Rockman",2021,Managing Uncertainty in Mental Health Care,10.1093/med/9780197509326.003.0009,CrossRef
Understanding Doppler Broadening of Gamma Rays,"Mohini Rawool-Sullivan, John Sullivan",2014,,10.2172/1130509,CrossRef
Gamma Spectrometric Efficiency Measurement Uncertainty of 137Cs in the Vegetation Sample,Yusuf AĞUŞ,2019,Celal Bayar Üniversitesi Fen Bilimleri Dergisi,10.18466/cbayarfbe.455494,CrossRef
Measurement of the Doppler Broadening of Gamma-Ray Energy with Ge (Li) Detector,Takao TOJO,1971,Journal of Nuclear Science and Technology,10.3327/jnst.8.48,CrossRef
"Nonpolynomial representation of N2-, air-, and self-broadening coefficients of ozone lines",,2021,Оптика атмосферы и океана,10.15372/aoo20210402,CrossRef
Time delay and broadening of gamma ray bursts in various energy bands,King-wai Lam,,,10.5353/th_b3121320,CrossRef
Simulation model for the time delay and broadening of gamma ray bursts,Ho-yin Chan,,,10.5353/th_b3121279,CrossRef
Measurement of the Doppler Broadening of Gamma-Ray Energy with Ge(Li) Detector,Takao TOJO,1971,Journal of Nuclear Science and Technology,10.1080/18811248.1971.9734772,CrossRef
Broadening of lines from N+ excited by H3+ bombardment of N2,,1990,Chemical Physics Letters,10.1016/0009-2614(90)87279-z,CrossRef
Air broadening of the hydrogen halides—I. N2-broadening and shifting in the HCl fundamental,"J.P. Looney, R.M. Herman",1987,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(87)90058-6,CrossRef
The origins of quantum interference and uncertainty broadening. A linear ribbon model approach,J. Tang,1996,,10.2172/201583,CrossRef
1D Temperature Measurement of a Supersonic Air Jet with N2 Resonantly Ionized Photoemission Therm...,,2023,,10.2514/6.2023-0222.vid,CrossRef
Uncertainty in Measurement,,,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5_1,CrossRef
"Intensities, self-broadening, and broadening by Ar and N2 for the 301III ← 000 band of CO2 measured at different temperatures","Carlos B. Suárez, Francisco P.J. Valero",1978,Journal of Molecular Spectroscopy,10.1016/0022-2852(78)90074-7,CrossRef
"Pressure broadening, shift and asymmetry of the 326.1 nm Cd line perturbed by N2 and CH4",A. Bielski,2002,AIP Conference Proceedings,10.1063/1.1525453,CrossRef
Linewidth and intensity measurements of SO2 lines at 94 GHz with self-broadening and broadening by H2O and N2,D. Meier,1978,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(78)90065-1,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Reference measurement standard specifications for the calibration of gamma-ray spectrometers,,,,10.3403/30467604,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Reference measurement standard specifications for the calibration of gamma-ray spectrometers,,,,10.3403/30385420,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Reference measurement standard specifications for the calibration of gamma-ray spectrometers,,,,10.3403/30467604u,CrossRef
Case studies in measurement uncertainty,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.013,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Reference measurement standard specifications for the calibration of gamma-ray spectrometers,,,,10.3403/30385420u,CrossRef
Fuzzy Variables and Measurement Uncertainty,,,Springer Series in Reliability Engineering,10.1007/978-0-387-46328-5_2,CrossRef
Guide to the Expression of Uncertainty in Measurement,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.018,CrossRef
Introduction to uncertainty in measurement,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.006,CrossRef
In vivo blood flow measurement taking spectral broadening into account,", Yaswant Chabria",,,10.17918/00008187,CrossRef
"Measurement at different temperatures of absolute intensities, line half-widths, and broadening by Ar and N2 for the 3001II←0000 band of CO2","Francisco P.J. Valero, Carlos B. Suarez",1978,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(78)90092-4,CrossRef
Classical trajectory versus quantum interference. A linear chain model for the origin of uncertainty broadening,Jau Tang,1996,,10.2172/201584,CrossRef
Line broadening,Mark A. Linne,2024,Spectroscopic Measurement,10.1016/b978-0-44-315474-4.00018-x,CrossRef
Line Broadening,Mark A. Linne,2002,Spectroscopic Measurement,10.1016/b978-012451071-5/50013-0,CrossRef
Measurement of gamma and 2 beta + gamma,J Albert,2005,,10.2172/839725,CrossRef
Gamma-Ray Library and Uncertainty Analysis: Passively Emitted Gamma Rays Used in Safeguards Technology,W Parker,2009,,10.2172/990415,CrossRef
N2-broadening coefficients of ethane,"Ghislain Blanquet, Jean Vander Auwera, Muriel Lepère",2009,Journal of Molecular Spectroscopy,10.1016/j.jms.2009.02.020,CrossRef
Evaluating the standard uncertainty,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099c3,CrossRef
Evaluating the expanded uncertainty,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099c4,CrossRef
What is measurement uncertainty?,Masatoshi Kajita,2019,"Measurement, Uncertainty and Lasers",10.1088/2053-2563/ab0373ch2,CrossRef
Screening MetalOrganic Frameworks for Dynamic CO/N2 Separation Using Complementary Adsorption Measurement Techniques,,,,10.1021/acs.iecr.9b03724.s001,CrossRef
Knowledge Potential Measurement and Uncertainty,Kerstin Fink,2004,Knowledge Potential Measurement and Uncertainty,10.1007/978-3-322-81240-7_5,CrossRef
Extended Measurement Uncertainty,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_7,CrossRef
"Measurement error, measurement uncertainty, and measurand uncertainty",A. G. Chunovkina,2000,Measurement Techniques,10.1007/bf02503592,CrossRef
Temperature Dependent Determination of the S-Branch N2-H2O Broadening Coefficient,"Henry Misoi, Jonas I. Hölzer, Thomas Seeger",2024,"Optica Imaging Congress 2024 (3D, AOMS, COSI, ISA, pcAOP)",10.1364/3d.2024.jth2a.5,CrossRef
ChemInform Abstract: Pressure Broadening Coefficients of 14N16O‐N2 Gas Mixtures,"T. G. NEISS, R. W. LOVEJOY, C. JUN. CHACKERIAN",1987,ChemInform,10.1002/chin.198742005,CrossRef
Expanded Uncertainty of a Measurement and an Uncertainty Budget for a Single Measurement,"Colin Ratcliffe, Bridget Ratcliffe",2015,Doubt-Free Uncertainty In Measurement,10.1007/978-3-319-12063-8_4,CrossRef
N2 Sleep to Total Sleep Time Ratio Measurement,,2020,Definitions,10.32388/frfxjk,CrossRef
Measurement fundamentals,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.004,CrossRef
Quantifying fs/ps CARS measurement uncertainty for transient flows,,2023,,10.2514/6.2023-0411.vid,CrossRef
"Measurement of the probability of the transition P20 (00 �1?10 �0) in CO2 and impact broadening in collisions with CO2, N2, and He","V. V. Danilov, �. P. Kruglyakov, E. V. Shun'ko",1972,Journal of Applied Mechanics and Technical Physics,10.1007/bf01200532,CrossRef
Measurement of Uncertainty,,,SpringerReference,10.1007/springerreference_205439,CrossRef
Extended Measurement Uncertainty,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.3139/9783446429550.007,CrossRef
Pressure broadening coefficients of 14N16ON2 gas mixtures,"T.G Neiss, R.W Lovejoy, C Chackerian",1987,Journal of Molecular Spectroscopy,10.1016/0022-2852(87)90137-8,CrossRef
Standard Uncertainty of a Measurement,"Colin Ratcliffe, Bridget Ratcliffe",2015,Doubt-Free Uncertainty In Measurement,10.1007/978-3-319-12063-8_3,CrossRef
Uncertainty in Environmental Noise Measurement,"David Waddington, Bill Whitfield",2020,Uncertainty in Acoustics,10.1201/9780429470622-5,CrossRef
Measurements and theoretical calculations of N2-broadening and N2-shift coefficients in the ν2 band of CH3D,"Adriana Predoi-Cross, Kyle Hambrook, Marco Brawley-Tremblay, Jean-Pierre Bouanich, Mary Ann H. Smith",2006,Journal of Molecular Spectroscopy,10.1016/j.jms.2005.10.003,CrossRef
Uncertainty assessment in the free release measurement by gamma spectrometry of rotating waste drums,"D. Stanga, O. Sima, D. Gurau",2016,Applied Radiation and Isotopes,10.1016/j.apradiso.2015.11.070,CrossRef
The pressure broadening of the depolarized rayleigh line in N2-noble-gas mixtures,"R.A.J. Keijser, K.D. Van Den Hout, H.F.P. Knaap",1974,Physica,10.1016/0031-8914(74)90159-1,CrossRef
"Broadening of hydrogen fluoride lines by H2, D2, and N2","Robert E. Meredith, Frederick G. Smith",1974,The Journal of Chemical Physics,10.1063/1.1681547,CrossRef
MEASUREMENT OF BACKGROUND GAMMA RADIATION,Zaur Gamishidze,2023,NWSA Academic Journals,10.12739/nwsa.2023.18.4.3a0098,CrossRef
Simplified Determination of the Measurement Uncertainty,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.1007/978-3-446-42955-0_9,CrossRef
Terms used in measurement,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.005,CrossRef
Measurement of radioactivity � Gamma-ray emitting radionuclides � Generic test method using gamma-ray spectrometry,,,,10.3403/30327041u,CrossRef
Measurement uncertainty distributions and uncertainty propagation by the simulation approach,"Pavol Tarapčík, Ján Labuda, Blandine Fourest, Viliam Pätoprstý",2001,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_9,CrossRef
Components of error or uncertainty,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.004,CrossRef
Speech Transmission Index (STI): Measurement and Prediction Uncertainty,Peter Mapp,2020,Uncertainty in Acoustics,10.1201/9780429470622-7,CrossRef
Measurement Uncertainty,,2002,Handbook of Mass Measurement,10.1201/9781420038453.ch7,CrossRef
Measurement Uncertainty Associated with Sound and Vibration Instrumentation,Ian Campbell,2020,Uncertainty in Acoustics,10.1201/9780429470622-3,CrossRef
"Water absorption line, 931–961 nm: selected intensities, N2-collision-broadening coefficients, self-broadening coefficients, and pressure shifts in air","L.P. Giver, B. Gentry, G. Schwemmer, T.D. Wilkerson",1982,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(82)90077-2,CrossRef
Measurement of radioactivity. Gamma-ray emitting radionuclides. Generic test method using gamma-ray spectrometry,,,,10.3403/30432895u,CrossRef
N2 and air broadening in the fundamental bands of HF and HCl,"A.S. Pine, J.P. Looney",1987,Journal of Molecular Spectroscopy,10.1016/0022-2852(87)90217-7,CrossRef
Measurement of radioactivity. Gamma-ray emitting radionuclides. Generic test method using gamma-ray spectrometry,,,,10.3403/30432895,CrossRef
Measurement of radioactivity � Gamma-ray emitting radionuclides � Generic test method using gamma-ray spectrometry,,,,10.3403/30327041,CrossRef
Uncertainty information fit for purpose,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.012,CrossRef
Guidelines on measurement uncertainty,,2023,,10.4060/cc6556en,CrossRef
Absorption spectroscopy of 85Rb atoms at 420 nm: Pressure broadening with N2 buffer gas and saturation intensity,"Xi Zeng, Dmitri L. Boiko",2014,2014 European Frequency and Time Forum (EFTF),10.1109/eftf.2014.7331521,CrossRef
N2-Broadening Coefficients in the ν1 Band of 35Cl12C14N,"Jacques Walrand, Ghislain Blanquet, Jean-Pierre Bouanich",2000,Journal of Molecular Spectroscopy,10.1006/jmsp.2000.8152,CrossRef
Measurement of radioactivity in the environment. Soil,,,,10.3403/30047014,CrossRef
Geometrical product specifications (GPS). Coordinate measuring machines (CMM). Technique for determining the uncertainty of measurement,,,,10.3403/30154297,CrossRef
Measurement Uncertainty,,2024,Measurement in Fluid Mechanics,10.1017/9781009343657.008,CrossRef
Simplified Determination of the Measurement Uncertainty,"Edgar Dietrich, Alfred Schulze",2011,Measurement Process Qualification,10.3139/9783446429550.009,CrossRef
Transition Probabilities and Collision Broadening Cross Section of the N2 Lyman–Birge–Hopfield System,D. E. Shemansky,1969,The Journal of Chemical Physics,10.1063/1.1671976,CrossRef
N2-broadening coefficients in the ν4 band of 12CH4 at room temperature,"Bénédicte Martin, Muriel Lepère",2008,Journal of Molecular Spectroscopy,10.1016/j.jms.2008.05.001,CrossRef
N2-broadening coefficients of CH3CN rovibrational lines and their temperature dependence for the Earth and Titan atmospheres,"A.S. Dudaryonok, N.N. Lavrentieva, J.V. Buldyreva",2015,Icarus,10.1016/j.icarus.2015.04.025,CrossRef
Geometrical product specifications (GPS). Coordinate measuring machines (CMM). Technique for determining the uncertainty of measurement,,,,10.3403/30154297u,CrossRef
Measurement Uncertainty,,2017,Measurement Technology for Process Automation,10.4324/9781315267913-11,CrossRef
Air- and N2-Broadening Parameters of Water Vapor: 604 to 2271 cm−1,Robert A. Toth,2000,Journal of Molecular Spectroscopy,10.1006/jmsp.2000.8098,CrossRef
Theoretical O2- and N2-Broadening Coefficients of CH3Cl Spectral Lines,"J.P. Bouanich, G. Blanquet, J. Walrand",1993,Journal of Molecular Spectroscopy,10.1006/jmsp.1993.1247,CrossRef
Uncertainty in the Measurement of Vibration Levels,"Jorge D’Avillez, Robert Peters",2020,Uncertainty in Acoustics,10.1201/9780429470622-11,CrossRef
The Pressure Broadening in the Gamma-Bands of Nitric Oxide,Oliver R. Wulf,1934,Physical Review,10.1103/physrev.46.316,CrossRef
N2- and O2-broadening coefficients of C2H2 IR lines,"J.P. Bouanich, D. Lambot, G. Blanquet, J. Walrand",1990,Journal of Molecular Spectroscopy,10.1016/0022-2852(90)90134-c,CrossRef
Foundational ideas in measurement,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.003,CrossRef
Opto-galvanic spectroscopy of broadening and shift of two-photon thallium transitions by N2 and He,"K. Naveedullah, Athar S. Naqvi",1985,Optics Communications,10.1016/0030-4018(85)90213-5,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Rapid screening method using scintillation detector gamma-ray spectrometry,,,,10.3403/30298317u,CrossRef
Measurement of the Branching Ratio of $K_L \to e^+e^- \gamma\gamma$,Tsuyoshi Nakaya,1995,,10.2172/1422819,CrossRef
Measurement of radioactivity - Gamma emitting radionuclides - Rapid screening method using scintillation detector gamma-ray spectrometry,,,,10.3403/30298317,CrossRef
Solutions to exercises,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.014,CrossRef
Measurement uncertainty in microbiological cultivation methods,"Riitta Maarit Niemi, Seppo I. Niemelä",2001,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_13,CrossRef
The importance of uncertainty in science and technology,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.003,CrossRef
Pressure Induced Broadening of 35C10 and 16O2 Millimeter-Wavelength Rotational Transitions By N2,"D. E. Brinza, H. M. Pickett, E. A. Cohen",1980,Topical Meeting on Spectroscopy in Support of Atmospheric Measurements,10.1364/sam.1980.wp10,CrossRef
"Air- and N2-Broadening Parameters of HDO and D2O, 709 to 1936 cm−1",Robert A. Toth,1999,Journal of Molecular Spectroscopy,10.1006/jmsp.1999.7966,CrossRef
"Semiclassical calculation of self-broadening in O2, N2, and CO Raman spectra","J. P. Looney, G. J. Rosasco",1991,The Journal of Chemical Physics,10.1063/1.460944,CrossRef
Glossary,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099b2,CrossRef
"Unveiling non-classical correlations, quantum coherence, and steering measurement uncertainty in two-qubit $$XY-\Gamma$$ spin model","Anas Ait Chlih, Samira Elghaayda, Nabil Habiballah, Mostafa Mansour",2024,Optical and Quantum Electronics,10.1007/s11082-024-07269-8,CrossRef
References,,,Evaluating the Measurement Uncertainty,10.1887/0750308400/b1099b3,CrossRef
N2 broadening parameters of ozone at 9.6 μm,Jack S. Margolis,1983,Journal of Quantitative Spectroscopy and Radiative Transfer,10.1016/0022-4073(83)90130-9,CrossRef
"Measurement: System, Uncertainty and Response",Md. Zahurul,2012,Applied Measurement Systems,10.5772/39378,CrossRef
What is measurement traceability and measurement uncertainty?,,2012,,10.18356/fd1f7c5d-en,CrossRef
Measurement of vectors and functions,,2013,Measurement Uncertainty and Probability,10.1017/cbo9781139135085.014,CrossRef
Uncertainty in the Measurement of Noise Emission from Plant and Machinery,Robert Peters,2020,Uncertainty in Acoustics,10.1201/9780429470622-10,CrossRef
Uncertainty Associated with the Measurement of Sound Insulation in the Field,Bill Whitfield,2020,Uncertainty in Acoustics,10.1201/9780429470622-8,CrossRef
Preface,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.002,CrossRef
Some aspects of the evaluation of measurement uncertainty using reference materials,Mirella Buzoianu,2000,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_19,CrossRef
References,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.017,CrossRef
Is the estimation of measurement uncertainty a viable alternative to validation?,Stephan Küppers,1998,Measurement Uncertainty in Chemical Analysis,10.1007/978-3-662-05173-3_35,CrossRef
Dedication,,2006,An Introduction to Uncertainty in Measurement,10.1017/cbo9780511755538.001,CrossRef
Evaluating the expanded uncertainty,,2002,Series in Measurement Science and Technology,10.1201/9781420034363.ch4,CrossRef
Evaluating the standard uncertainty,,2002,Series in Measurement Science and Technology,10.1201/9781420034363.ch3,CrossRef
Impact broadening and shift of Thallium two-photon 62P12-52F transition by He and N2,"Athar S. Naqvi, K. Naveedullah, M.I. Rethmatullah",1986,Optics Communications,10.1016/0030-4018(86)90233-6,CrossRef
Collision broadening of C2H4O lines. II. Broadened by quadrupolar molecules N2 and H2,"Prem Chand Pandey, Shyam Lal Srivastava",1973,The Journal of Chemical Physics,10.1063/1.1679406,CrossRef
Measurements of pressure broadening of N2 in the anisotropic tensor component of spontaneous Raman spectra,"Timothy W. Haller, Philip L. Varghese",2021,Combustion and Flame,10.1016/j.combustflame.2020.11.045,CrossRef
Recoil Broadening of Secondary Transitions in Neutron-Capture Gamma-Ray Cascades,K. J. Wetzel,1969,Physical Review,10.1103/physrev.181.1465,CrossRef
"Diode laser measurements of intensities, N2-broadening, and self-broadening coefficients of lines of the ν2 band of 14N16O2","V. Malathy Devi, Palash P. Das, A. Bano, K. Narahari Rao, J.-M. Flaud, C. Camy-Peyret, J.-P. Chevillard",1981,Journal of Molecular Spectroscopy,10.1016/0022-2852(81)90176-4,CrossRef
Measurement of radioactivity in the environment. Soil,,,,10.3403/30242243,CrossRef
